age,tenure_months,monthly_charges,monthly_usage,login_frequency,support_tickets,avg_session_duration,support_ticket_rate,clv_proxy,usage_to_cost_ratio,engagement_intensity,gender_Female,gender_Male,city_Chicago,city_Houston,city_Los Angeles,city_Miami,city_New York,plan_type_Basic,plan_type_Premium,plan_type_Standard,contract_type_Month-to-Month,contract_type_One Year,contract_type_Two Year,payment_method_Bank Transfer,payment_method_Credit Card,payment_method_Electronic Check,payment_method_Mailed Check,tenure_cohort_0-12m,tenure_cohort_13-24m,tenure_cohort_25-48m,tenure_cohort_49m+
0.36,-0.6470588235294118,0.7795877325289091,-0.6212712132391696,0.26666666666666666,-1.0,-0.3412408759124087,-0.5875032215183863,-0.26275434398813013,-0.6769069538134953,-0.44976082162798264,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.32,-0.7058823529411765,-0.8369029663147306,-0.6849372825972384,-0.6666666666666666,1.0,-0.6003649635036495,2.2162350962386235,-0.714062295961857,0.019640983236640718,0.14237282955650796,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.28,0.08823529411764706,-0.12579185520361966,-0.1954253188573839,-0.8,0.0,0.6405109489051096,-0.18169899131671396,0.12930324476557026,-0.07958216651623842,2.274647997547353,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.48,-0.11764705882352941,-0.6199095022624431,0.6512069147254137,-0.9333333333333333,0.0,-0.895985401459854,-0.09006577804536857,-0.3611389017131235,1.815688766814434,16.366510859069727,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.88,-0.8823529411764706,-0.9527400703871287,0.9400231896279119,-0.8666666666666667,-1.0,0.1989051094890512,-0.5875032215183863,-0.7905127854477555,4.870236620066371,9.217975330064078,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.32,-0.6470588235294118,-0.9352438411261936,-0.12206176873616537,0.4,2.0,0.04927007299270079,2.971087720250126,-0.7186728510895573,1.7629447195544845,-0.2457098142170025,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.52,-1.0,0.20100553041729546,0.7810688310319385,-0.4,0.0,-0.3412408759124087,14.833057526145165,-0.8005112328299493,0.46077721905978836,1.3305102865083949,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.92,-0.029411764705882353,0.3912518853695326,-0.4728575946031412,-0.9333333333333333,1.0,0.13686131386861314,0.3195885871677049,0.38758481560350067,-0.5187713162784956,5.56877957276431,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.84,0.4117647058823529,0.5099044746103573,0.09043954885632967,-0.6666666666666666,0.0,0.6441605839416061,-0.27279790013749755,1.044763719331943,-0.19820686151970224,1.6320223295951926,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.24,-0.3235294117647059,-0.45238813474107564,0.17940339411826717,0.13333333333333333,1.0,-0.1478102189781021,0.6975435074535762,-0.3853515136995387,0.7081651381676429,0.03268491895646811,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.08,-0.5294117647058824,-0.1537456008044241,0.4829767049646886,0.26666666666666666,2.0,-0.10036496350364951,2.1337722045398873,-0.4119413789096921,0.589257367342791,0.1085220037921992,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.08,-0.11764705882352941,-0.7003519356460529,-0.46779803942236753,0.13333333333333333,2.0,0.28649635036496357,0.904809108900667,-0.41213879786252855,0.1989108147525671,-0.3330208646470539,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.08,-0.058823529411764705,0.2591251885369536,0.11320754716981118,-0.8666666666666667,3.0,0.0967153284671535,1.2816556569862865,0.26252813477133863,-0.06587945400101403,5.246791711826095,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
-0.36,-0.3235294117647059,0.23237807943690306,0.29788131126805095,0.06666666666666667,-1.0,0.2974452554744528,-0.5875032215183863,-0.0492457464955565,0.08279660877754881,0.1499162558583624,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.4,-0.5,0.9428858722976372,0.9602614103510068,0.13333333333333333,0.0,0.2937956204379564,0.2691945977962554,0.016494764798967037,0.09705348310654181,0.4739143073823458,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.72,-0.4411764705882353,-0.49582704876822487,0.77305786866238,-0.7333333333333333,1.0,0.37773722627737233,0.9545528532479689,-0.4776448741505587,1.5826958499404196,3.8555611428666383,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.96,-0.8529411764705882,0.5229763700351937,-0.2219879835564457,0.4,2.0,-0.9324817518248175,7.12277715231339,-0.6010317196733128,-0.39499887909994336,-0.2914187827958326,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.84,0.17647058823529413,-0.27742584213172417,-0.6242226204279542,0.0,2.0,-0.6624087591240876,0.5408304917252881,0.07808947808392579,-0.41488822542408516,-0.38360817933878966,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.4,-0.9411764705882353,0.8276520864756161,-0.33245493833667134,-0.4,0.0,-0.5383211678832116,4.552683694369464,-0.6980754736769589,-0.5304027245751558,0.14201281517670292,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.44,-0.029411764705882353,-0.8471593765711408,0.38094234215241896,0.4666666666666667,1.0,0.38868613138686153,0.3195885871677049,-0.4735402050895016,2.427263298187792,-0.04695382349601346,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.2,-0.08823529411764706,-0.7367521367521365,0.6718667650469062,0.5333333333333333,0.0,0.5602189781021899,-0.10561069815390037,-0.42240047051517093,2.3693838840232146,0.04594376056565947,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.68,0.4411764705882353,0.2685771744595277,0.4193106356066196,0.9333333333333333,0.0,0.023722627737226488,-0.2790920065651153,0.8363016438212499,0.1459733146771242,-0.19306436168244423,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.28,0.35294117647058826,0.1543489190548016,-0.06345525455887009,0.7333333333333333,1.0,-0.1441605839416057,0.0686908528502754,0.6263753777436867,-0.13953600947315145,-0.3123668722581203,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.44,-0.20588235294117646,-0.9034690799396676,0.8852113418361969,0.0,-1.0,0.8156934306569344,-0.5875032215183863,-0.5691321072108301,4.108945377422173,0.5830304304379895,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
