customer_id,age,gender,city,tenure_months,plan_type,monthly_charges,contract_type,payment_method,monthly_usage,login_frequency,support_tickets,avg_session_duration,churn
CUST_0001,56,Male,New York,58,Standard,83.59,Two Year,Mailed Check,232.9,27,0,21.7,0
CUST_0002,69,Male,Los Angeles,55,Premium,79.93,Month-to-Month,Mailed Check,397.3,12,2,11.0,0
CUST_0003,46,Male,Miami,4,Standard,37.94,One Year,Bank Transfer,267.7,15,1,31.0,1
CUST_0004,32,Female,Miami,24,Basic,90.51,Month-to-Month,Electronic Check,453.9,18,0,42.2,0
CUST_0005,60,Male,Chicago,34,Premium,65.52,Month-to-Month,Electronic Check,458.5,28,1,53.1,0
CUST_0006,25,Male,Los Angeles,30,Premium,86.78,Month-to-Month,Mailed Check,89.3,23,2,46.2,0
CUST_0007,38,Male,Chicago,19,Basic,103.74,Two Year,Mailed Check,471.4,14,2,56.6,0
CUST_0008,56,Female,Los Angeles,31,Premium,36.97,Two Year,Credit Card,421.5,1,1,8.0,0
CUST_0009,36,Female,Chicago,60,Standard,21.91,Two Year,Mailed Check,406.1,13,0,5.7,0
CUST_0010,40,Male,Miami,60,Standard,97.91,Two Year,Credit Card,140.4,15,0,41.4,0
CUST_0011,28,Male,Miami,19,Basic,80.97,Month-to-Month,Mailed Check,412.3,7,1,20.9,0
CUST_0012,28,Male,New York,49,Standard,89.96,Month-to-Month,Bank Transfer,432.6,15,3,18.9,0
CUST_0013,41,Male,Chicago,63,Basic,103.82,One Year,Bank Transfer,180.1,20,1,23.2,0
CUST_0014,53,Female,Houston,22,Basic,100.28,Month-to-Month,Credit Card,478.5,10,0,19.8,1
CUST_0015,57,Female,New York,24,Standard,116.09,Month-to-Month,Electronic Check,72.4,14,0,33.1,0
CUST_0016,41,Female,Chicago,30,Basic,73.59,Month-to-Month,Bank Transfer,117.5,6,2,29.2,1
CUST_0017,20,Female,Chicago,58,Standard,68.85,One Year,Credit Card,291.9,14,0,33.2,0
CUST_0018,39,Male,New York,31,Premium,60.19,One Year,Mailed Check,309.1,24,1,42.0,1
CUST_0019,19,Male,Miami,64,Premium,35.37,Month-to-Month,Mailed Check,340.3,25,4,26.3,0
CUST_0020,41,Male,Chicago,19,Basic,77.26,Month-to-Month,Credit Card,57.6,22,2,18.8,0
CUST_0021,61,Female,Miami,48,Standard,47.7,One Year,Electronic Check,482.2,12,0,14.1,1
CUST_0022,47,Male,New York,45,Standard,112.13,One Year,Credit Card,70.1,11,2,24.2,1
CUST_0023,55,Female,Miami,55,Premium,78.32,Month-to-Month,Credit Card,114.4,29,2,45.8,0
CUST_0024,19,Female,Los Angeles,55,Premium,79.28,One Year,Bank Transfer,56.3,25,4,46.6,0
CUST_0025,38,Male,Houston,18,Standard,55.49,Month-to-Month,Credit Card,305.1,20,1,41.7,0
CUST_0026,50,Male,Chicago,63,Basic,25.2,Month-to-Month,Credit Card,469.5,22,1,17.9,1
CUST_0027,29,Male,Houston,47,Premium,23.17,One Year,Mailed Check,349.7,24,0,37.3,0
CUST_0028,39,Female,Miami,57,Basic,62.33,One Year,Bank Transfer,420.2,25,1,36.4,0
CUST_0029,61,Male,Chicago,45,Basic,28.46,Month-to-Month,Mailed Check,56.0,19,0,31.6,0
CUST_0030,42,Female,Miami,33,Premium,80.68,One Year,Mailed Check,293.9,2,4,35.2,0
CUST_0031,66,Male,Los Angeles,17,Basic,108.1,One Year,Electronic Check,256.8,22,1,32.0,1
CUST_0032,44,Female,New York,70,Basic,108.29,One Year,Electronic Check,274.5,20,0,36.1,0
CUST_0033,59,Female,Chicago,4,Standard,85.9,One Year,Bank Transfer,82.5,1,2,44.4,0
CUST_0034,45,Male,Los Angeles,20,Basic,41.12,One Year,Bank Transfer,358.0,8,2,11.0,0
